order_id,socket.io,websocket,delta
1195813621,1565158716,1565158716,-0.014564991
1195813622,1565158716,1565158716,-0.014564991
1195813623,1565158716,1565158716,-0.014564991
1195813624,1565158716,1565158716,-0.014564991
1195813625,1565158716,1565158716,-0.014564991
1195813626,1565158716,1565158716,-0.014564991
1195813627,1565158716,1565158716,-0.014564991
1195813628,1565158716,1565158716,-0.014564991
1195813629,1565158716,1565158716,-0.014564991
1195813630,1565158716,1565158716,-0.014564991
1195813631,1565158716,1565158716,-0.001533985
1195813632,1565158716,1565158716,-0.001533985
1195813633,1565158716,1565158716,-0.001533985
1195813634,1565158716,1565158716,-0.002418041
1195813635,1565158716,1565158716,-0.002418041
1195813636,1565158716,1565158716,-0.002418041
1195813637,1565158716,1565158716,-0.001981974
1195813638,1565158716,1565158716,0.00016284
1195813639,1565158716,1565158716,-0.008857965
1195813640,1565158717,1565158717,-0.012690067
1195813641,1565158717,1565158717,-0.012690067
1195813642,1565158717,1565158717,-0.012690067
1195813643,1565158717,1565158717,-0.012690067
1195813644,1565158717,1565158717,-0.012690067
1195813645,1565158717,1565158717,-0.012690067
1195813646,1565158717,1565158717,-0.012690067
1195813647,1565158717,1565158717,-0.012690067
1195813648,1565158717,1565158717,-0.004671097
1195813649,1565158717,1565158717,-0.008179903
1195813650,1565158717,1565158717,-0.005911112
1195813651,1565158717,1565158717,-0.005911112
1195813652,1565158717,1565158717,-0.006434202
1195813653,1565158717,1565158717,-0.006434202
1195813654,1565158717,1565158717,-0.006434202
1195813655,1565158717,1565158717,0.00503993
1195813656,1565158717,1565158717,0.00503993
1195813657,1565158717,1565158717,0.00503993
1195813658,1565158717,1565158717,0.00503993
1195813659,1565158717,1565158717,0.00503993
1195813660,1565158717,1565158717,0.00503993
1195813661,1565158717,1565158717,0.00503993
1195813662,1565158717,1565158717,0.00503993
1195813663,1565158717,1565158717,-0.006737947
1195813664,1565158717,1565158717,-0.006737947
1195813665,1565158717,1565158717,-0.006737947
1195813666,1565158717,1565158717,-0.006737947
1195813667,1565158717,1565158717,-0.007021904
1195813668,1565158718,1565158718,-0.013422012
1195813669,1565158718,1565158718,-0.006024837
1195813670,1565158718,1565158718,-0.00757885
1195813671,1565158718,1565158718,-0.00757885
1195813672,1565158718,1565158718,-0.007564068
1195813673,1565158718,1565158718,-0.006954908
1195813674,1565158718,1565158718,-0.00882411
1195813675,1565158718,1565158718,-0.00882411
1195813676,1565158718,1565158718,-0.00882411
1195813677,1565158718,1565158718,-0.00882411
1195813678,1565158718,1565158718,-0.00882411
1195813679,1565158718,1565158718,-0.00882411
1195813680,1565158718,1565158718,-0.00882411
1195813681,1565158718,1565158718,-0.00882411
1195813682,1565158718,1565158718,-0.00882411
1195813683,1565158718,1565158718,-0.00882411
1195813684,1565158718,1565158718,-0.00882411
1195813685,1565158718,1565158718,-0.00882411
1195813686,1565158718,1565158718,-0.00882411
1195813687,1565158718,1565158718,-0.00882411
1195813688,1565158718,1565158719,-0.065943003
1195813689,1565158719,1565158719,-0.00840497
1195813690,1565158719,1565158719,-0.008696079
1195813691,1565158719,1565158719,-0.00574708
1195813692,1565158719,1565158720,-0.016265154
1195813693,1565158719,1565158720,-0.016265154
1195813694,1565158719,1565158720,-0.016265154
1195813695,1565158719,1565158720,-0.016265154
1195813696,1565158719,1565158720,-0.016265154
1195813697,1565158719,1565158720,-0.016265154
1195813698,1565158720,1565158720,-0.015944004
1195813699,1565158720,1565158720,-0.015944004
1195813700,1565158720,1565158720,-0.015944004
1195813701,1565158720,1565158720,-0.015944004
1195813702,1565158720,1565158720,-0.015944004
1195813703,1565158720,1565158720,-0.015944004
1195813704,1565158720,1565158720,-0.015944004
1195813705,1565158720,1565158720,-0.015944004
1195813706,1565158720,1565158720,-0.015944004
1195813707,1565158720,1565158720,-0.015944004
1195813708,1565158720,1565158720,-0.015944004
1195813709,1565158720,1565158720,-0.015944004
1195813710,1565158720,1565158720,-0.015944004
1195813711,1565158720,1565158720,-0.015944004
1195813712,1565158720,1565158720,-0.015944004
1195813713,1565158720,1565158720,-0.015944004
1195813714,1565158720,1565158720,0.000173092
1195813715,1565158720,1565158720,-0.004382133
1195813716,1565158720,1565158720,-0.002302885
1195813717,1565158720,1565158720,-0.002302885
1195813718,1565158720,1565158720,-0.002302885
1195813719,1565158720,1565158720,-0.002302885
1195813720,1565158720,1565158720,-0.002302885
1195813721,1565158720,1565158720,-0.002302885
1195813722,1565158720,1565158720,-0.002302885
1195813723,1565158720,1565158720,-0.002302885
1195813724,1565158720,1565158720,-0.002302885
1195813725,1565158721,1565158721,-0.007343054
1195813726,1565158721,1565158721,-0.007343054
1195813727,1565158721,1565158721,-0.007343054
1195813728,1565158721,1565158721,-0.005048037
1195813729,1565158721,1565158721,-0.017675877
1195813730,1565158721,1565158721,-0.017675877
1195813731,1565158721,1565158721,-0.017675877
1195813732,1565158722,1565158722,-0.00692296
1195813733,1565158722,1565158722,-0.007869959
1195813734,1565158723,1565158723,-0.001966953
1195813735,1565158723,1565158723,-0.001966953
1195813736,1565158723,1565158723,-0.001966953
1195813737,1565158723,1565158723,-0.001966953
1195813738,1565158723,1565158723,-0.012323856
1195813739,1565158723,1565158723,-0.012323856
1195813740,1565158723,1565158723,-0.012323856
1195813741,1565158723,1565158723,-0.012323856
1195813742,1565158723,1565158723,-0.012323856
1195813743,1565158723,1565158723,-0.012323856
1195813744,1565158723,1565158723,-0.012323856
1195813745,1565158723,1565158723,-0.012323856
